"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"Tabla 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Número Total de Transacciones Inmobiliarias de Viviendas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Años: 2004, 2005, 2006, 2007 y 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Continúa)"
NA,"Año 2004",NA,NA,NA,"Año 2005",NA,NA,NA,"Año 2006",NA,NA,NA,"Año 2007",NA,NA,NA,"Año 2008",NA,NA,NA
NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA
NA,"1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º"
"TOTAL NACIONAL","190442","223895","201089","232964","196438","241398","216333","247405","233669","251649","221610","248258","230755","227562","186504","192050","159088","157008","122949","125419"
"Andalucía","34597","40321","33921","38726","33304","40656","36797","41718","38813","44325","41390","43529","47449","45928","38213","39807","32771","31889","25429","25394"
"Almería","4391","5545","4643","4782","4287","5746","5648","6201","5710","6439","6369","6812","5660","5773","4713","4453","3448","3388","3365","2781"
"Cádiz","4944","5756","5051","5314","5477","6602","5607","6661","6185","6476","6052","5855","6535","6874","5654","5351","4506","4150","3180","3196"
"Córdoba","2647","3103","2414","2921","2164","2363","2180","2636","2399","2868","2858","3343","3298","3359","2516","2758","2143","2500","2044","1719"
"Granada","2200","3278","3128","3094","2382","3358","3486","3701","3324","4281","4535","4336","4861","5350","4389","4793","4096","3784","3008","3001"
"Huelva","2987","3511","2604","2787","2657","3146","2520","2959","2890","3160","2710","2827","3128","3071","2775","2669","2291","2250","2032","1890"
"Jaén","2028","2355","2048","2452","1795","2318","2473","2528","2279","2470","2305","2710","3009","2887","2320","2484","2269","2280","1735","1816"
"Málaga","8990","10100","8135","9874","8799","10384","9271","10111","9079","10609","9393","9971","11489","10490","8743","9592","7454","7265","5579","6132"
"Sevilla","6410","6673","5898","7502","5743","6739","5612","6921","6947","8022","7168","7675","9469","8124","7103","7707","6564","6272","4486","4859"
"Aragón","4662","6157","5884","6163","5321","7314","6534","6516","6437","6757","4403","6561","6421","6543","5085","5309","4344","4799","3290","3950"
"Huesca","669","1226","1305","1236","1157","1331","1451","1766","1457","1652","1255","1543","1626","1554","1518","1287","1277","1273","899","805"
"Teruel","444","502","541","610","422","497","504","572","651","653","438","660","661","615","615","697","527","623","657","555"
"Zaragoza","3549","4429","4038","4317","3742","5486","4579","4178","4329","4452","2710","4358","4134","4374","2952","3325","2540","2903","1734","2590"
"Asturias (Principado de)","4191","5053","4154","4980","4004","4755","4755","5825","4903","5149","5054","6075","5070","5047","4925","4647","4293","4043","3361","3112"
"Balears (Illes)","3570","4916","4345","5455","3977","5853","5098","5683","5489","6580","6104","7841","5790","6317","4802","4858","3376","3695","2793","2498"
"Canarias","9163","10912","9452","11545","9526","10678","9421","11842","11175","11610","10386","11252","10746","11340","8866","8922","7475","6502","5550","5987"
"Palmas (Las)","4458","5199","4875","5949","4673","5606","4852","6232","5496","5923","5049","5465","5740","5877","4788","5120","4217","3476","2627","3412"
"Santa Cruz de Tenerife","4705","5713","4577","5596","4853","5072","4569","5610","5679","5687","5337","5787","5006","5463","4078","3802","3258","3026","2923","2575"
"Cantabria","2802","3385","3452","3690","3457","4356","3692","3989","3303","4104","3351","3898","3374","3804","3106","3177","2739","2871","2222","2047"
"Castilla y León","8586","10363","10467","11412","9524","11296","11028","12464","12268","13071","12278","14035","13224","12582","11452","11377","9817","8418","7732","7213"
"Ávila","542","708","623","772","618","913","776","910","914","1036","1186","1452","1182","1036","1018","911","832","971","736","817"
"Burgos","939","1640","1685","1611","1390","1576","1501","2048","1959","1945","2049","2308","2434","2177","1958","1670","1268","1265","1462","1077"
"León","1386","1743","1778","1985","1563","1680","2096","2273","2102","2134","1930","2441","2545","2442","2301","2394","1872","1522","1283","1279"
"Palencia","1221","752","716","696","845","960","822","919","837","959","806","872","811","796","617","739","646","514","448","465"
"Salamanca","1077","1442","1393","1594","1545","1761","1785","1849","1795","2507","1891","1832","1715","1756","1527","1592","1558","1126","1073","901"
"Segovia","562","641","821","907","575","780","769","713","875","721","671","770","772","682","808","681","738","588","529","469"
"Soria","514","534","428","418","178","210","245","260","308","461","625","457","503","447","439","406","368","355","355","255"
"Valladolid","1760","2245","2147","2643","2140","2811","2194","2456","2596","2496","2418","2882","2472","2445","2020","2219","1878","1534","1146","1316"
"Zamora","585","658","876","786","670","605","840","1036","882","812","702","1021","790","801","764","765","657","543","700","634"
"Castilla-La Mancha","7569","8213","8029","9648","8162","10110","10271","10996","10134","10777","11042","12987","10957","10504","10828","12931","10558","9418","7283","7751"
"Albacete","1280","1294","1219","1616","1316","1585","1625","1675","1579","1795","1689","1779","1823","1749","1468","1396","1075","1218","1045","1256"
"Ciudad Real","1520","1614","1887","1959","1592","1997","2558","2735","2749","2778","2823","3246","2689","2989","2580","2436","2289","2374","2106","1653"
"Cuenca","512","519","718","793","674","827","882","976","645","691","989","1643","845","1053","915","1596","885","718","599","641"
"Guadalajara","1385","1630","1425","1999","1585","2215","1863","2233","1723","2012","1754","2152","1586","1527","1516","1830","1554","1618","847","1136"
"Toledo","2872","3156","2780","3281","2995","3486","3343","3377","3438","3501","3787","4167","4014","3186","4349","5673","4755","3490","2686","3065"
"Cataluña","28444","36432","32149","39345","36847","44386","37212","44400","42298","43948","34560","39480","34393","31693","22039","23317","18138","16665","12648","13470"
"Barcelona","19801","23937","20895","25973","23967","28812","22449","27883","26727","26889","19646","23565","21651","18738","12317","13650","10746","9826","7634","8223"
"Girona","3167","4593","4023","5205","4908","6208","5442","6160","5707","6051","5396","5775","4848","4715","3277","3506","2636","2542","1823","2086"
"Lleida","1949","2564","2111","2581","2029","2164","2234","2604","2596","2762","2621","3237","2467","2394","2053","2255","1641","1544","1061","1156"
"Tarragona","3527","5338","5120","5586","5943","7202","7087","7753","7268","8246","6897","6903","5427","5846","4392","3906","3115","2753","2130","2005"
"Comunitat Valenciana","34113","40281","36607","38775","32163","40117","36497","37689","36961","39997","35005","37756","34860","36396","28306","26211","21500","22413","17192","17409"
"Alicante/Alacant","17791","19832","18334","18994","15973","20037","17818","18774","17552","20203","17223","17913","16371","17228","13697","11922","10316","10078","7420","7678"
"Castellón/Castelló","2979","4751","5329","4138","3693","5574","5769","5370","5144","5759","5642","5331","4634","5254","4480","4919","3260","3501","2842","2146"
"Valencia/València","13343","15698","12944","15643","12497","14506","12910","13545","14265","14035","12140","14512","13855","13914","10129","9370","7924","8834","6930","7585"
"Extremadura","3349","4092","4067","3668","3407","3837","3722","4070","3839","3945","4085","4135","4435","4238","4256","4218","4183","4078","3572","3819"
"Badajoz","2075","2251","1945","2003","1914","2105","1888","2570","2300","2529","2391","2542","2611","2660","2728","2635","2752","2736","2210","2486"
