"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22"
"Tabla 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Número total de transacciones inmobiliarias de viviendas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Años: 2019, 2020, 2021, 2022 y 2023 (*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(*) Para acceder a la información de años anteriores consulte las pestañas que se encuentran en la parte inferior de este excel.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Año 2019",NA,NA,NA,"Año 2020",NA,NA,NA,"Año 2021",NA,NA,NA,"Año 2022",NA,NA,NA,"Año 2023",NA,NA,NA,NA
NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,NA
NA,"1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2 (**)",NA,NA,NA
"TOTAL NACIONAL","138374","149600","123687","158332","116029","78918","132113","160294","141851","177997","161300","193101","175383","199578","168793","173980","158006","170888",NA,NA,NA
"Andalucía","26701","28752","23781","30041","22461","15435","25418","30225","27009","35641","32231","39376","34585","39821","33697","34029","31247","34027",NA,NA,NA
"Almería","2820","3193","2675","3320","2317","1605","2894","3251","2780","3971","3771","4077","3606","4375","4092","3801","3450","4222",NA,NA,NA
"Cádiz","3645","3721","3324","4207","3049","2115","3307","4062","3671","5196","4329","5158","4394","5067","4338","4666","4017","4375",NA,NA,NA
"Córdoba","1786","2013","1680","1836","1478","1145","2002","2222","1977","2494","2136","2515","2338","2447","2138","2362","2379","2391",NA,NA,NA
"Granada","3044","3275","2553","3203","2391","1781","2842","3019","2927","3734","3398","4359","3723","4437","3702","4029","3471","3590",NA,NA,NA
"Huelva","1523","1693","1321","1641","1411","898","1629","1907","1703","2365","2101","2390","1997","2358","1913","1885","1803","2041",NA,NA,NA
"Jaén","1410","1473","1162","1590","1148","896","1358","1655","1473","1772","1516","1803","1837","1935","1720","1774","1618","1739",NA,NA,NA
"Málaga","7594","8135","6818","8329","6427","3759","6701","8133","7080","9395","9232","12142","10483","12415","9891","9400","8696","9961",NA,NA,NA
"Sevilla","4879","5249","4248","5915","4240","3236","4685","5976","5398","6714","5748","6932","6207","6787","5903","6112","5813","5708",NA,NA,NA
"Aragón","3630","4039","3365","4331","2889","2237","3692","4753","3773","4666","4105","4941","4330","5162","4457","4746","4008","4626",NA,NA,NA
"Huesca","839","753","621","825","536","425","839","969","632","907","853","1064","899","1004","854","855","762","1028",NA,NA,NA
"Teruel","375","361","332","472","294","220","434","439","366","466","497","569","439","459","540","591","455","452",NA,NA,NA
"Zaragoza","2416","2925","2412","3034","2059","1592","2419","3345","2775","3293","2755","3308","2992","3699","3063","3300","2791","3146",NA,NA,NA
"Asturias (Principado de)","2558","2592","2105","2865","2222","1605","3068","3307","2743","3494","3120","3644","3471","3618","3349","3425","3391","3734",NA,NA,NA
"Balears (Illes)","3805","4016","3485","4386","3133","1775","3037","3613","3226","4502","4457","5483","4797","5365","4472","4372","3763","4039",NA,NA,NA
"Canarias","6105","6166","5134","7225","4843","2352","4636","5245","5204","6116","6002","7198","7693","8995","7553","6884","6940","7200",NA,NA,NA
"Palmas (Las)","2988","3314","2690","3891","2488","1316","2450","2815","2832","3204","3160","3674","4300","4448","4044","3681","3770","3696",NA,NA,NA
"Santa Cruz de Tenerife","3117","2852","2444","3334","2355","1036","2186","2430","2372","2912","2842","3524","3393","4547","3509","3203","3170","3504",NA,NA,NA
"Cantabria","1626","1899","1675","2050","1519","1073","2003","2302","1794","2475","2708","2703","2205","2735","2192","2277","1908","2249",NA,NA,NA
"Castilla y León","6356","6745","5905","6846","5306","3373","7404","7981","6895","8445","8188","9326","8299","9210","8419","8568","7618","8401",NA,NA,NA
"Ávila","511","579","612","603","439","239","642","661","539","748","730","841","737","808","866","786","679","735",NA,NA,NA
"Burgos","1156","1138","926","1162","869","621","1246","1444","1238","1559","1329","1598","1443","1626","1539","1436","1234","1544",NA,NA,NA
"León","984","1083","942","1169","836","548","1165","1244","1064","1363","1372","1461","1334","1599","1400","1367","1257","1320",NA,NA,NA
"Palencia","394","399","421","381","315","204","486","479","478","493","517","560","456","503","507","493","450","479",NA,NA,NA
"Salamanca","852","832","805","864","713","436","918","988","853","1057","1062","1219","1073","1197","1119","1061","884","1043",NA,NA,NA
"Segovia","488","511","427","514","376","256","594","748","492","621","641","768","659","708","554","809","650","730",NA,NA,NA
"Soria","251","358","260","286","206","102","360","383","219","330","364","426","428","378","321","395","319","395",NA,NA,NA
