DATE,PCAGDPESA646NWDB,NYGDPPCAPKDUSA
1960-01-01,396.392253337614,19135.2681815327
1961-01-01,450.053289246968,19253.5473294341
1962-01-01,520.206131380005,20116.2351242269
1963-01-01,609.487384056513,20701.2699473561
1964-01-01,675.241639141208,21599.8187054259
1965-01-01,774.761609330096,22696.678582964
1966-01-01,889.659872011529,23894.408153854
1967-01-01,968.306781765983,24226.5287873383
1968-01-01,950.545740593734,25137.1602435017
1969-01-01,1077.67869994591,25664.3794275179
1970-01-01,1212.28932639401,25295.2100247742
1971-01-01,1362.16552414021,25800.0012953805
1972-01-01,1708.80862877366,26867.6303169189
1973-01-01,2247.55337693219,28114.8675610758
1974-01-01,2749.92466346596,27708.5699542679
1975-01-01,3209.83744506281,27380.3393850157
1976-01-01,3279.31267061507,28582.7368220699
1977-01-01,3627.59066324096,29605.1832509229
1978-01-01,4356.43922031196,30914.6159489633
1979-01-01,5770.21461386463,31543.384323832
1980-01-01,6208.5780190814,31161.9307250523
1981-01-01,5371.16643640984,31640.6777866874
1982-01-01,5159.70864500142,30775.4413892534
1983-01-01,4478.50028561471,31893.1990487271
1984-01-01,4489.98893854814,33906.3512435069
1985-01-01,4699.65576367274,35008.5302281401
1986-01-01,6513.50328578924,35887.5545010474
1987-01-01,8239.6138016479,36798.6044063082
1988-01-01,9703.1238381095,37989.1923811549
1989-01-01,10681.9712029257,39014.204109084
1990-01-01,13804.8767869937,39303.4890094262
1991-01-01,14811.9028194881,38739.7983208225
1992-01-01,16112.1889152156,39552.0218779482
1993-01-01,13339.908563675,40108.0080371193
1994-01-01,13415.2870010456,41215.3429307632
1995-01-01,15471.962716535,41820.6801876235
1996-01-01,16109.0843985284,42896.4164829209
1997-01-01,14730.7971752046,44267.9058817489
1998-01-01,15394.3514628249,45715.6926453849
1999-01-01,15720.6405016061,47360.5364177179
2000-01-01,14749.6874248766,48746.0409600767
2001-01-01,15369.0011599444,48726.5816727299
2002-01-01,17106.686576658,49095.3317986996
2003-01-01,21510.8362454011,50036.2342349321
2004-01-01,24907.0008505856,51485.2074124697
2005-01-01,26429.1509449319,52789.7314187756
2006-01-01,28389.0785799873,53738.0917251561
2007-01-01,32591.3503065871,54299.6172405205
2008-01-01,35510.7222312701,53854.1606116578
2009-01-01,32169.5028548583,51996.1834952422
2010-01-01,30532.4805081663,52963.4641697124
2011-01-01,31677.9003083654,53394.8618380061
2012-01-01,28322.9465923276,54213.4595516389
2013-01-01,29077.1820557566,54830.7840664164
2014-01-01,29513.65118004,55675.3868536862
2015-01-01,25754.36102944,56762.7294515989
2016-01-01,26537.1594894549,57292.5387829091
2017-01-01,28185.3213671972,58207.578310388
2018-01-01,30379.7211126417,59607.3936602496
2019-01-01,29581.5185513293,60698.0112990179
2020-01-01,26959.6754367322,58451.6067152443
2021-01-01,30103.513733191,61829.8456266599
2022-01-01,29350.1685214481,62866.7143910206
