"","Provincia","Año_Trimestre","Transacciones"
"1","TOTAL NACIONAL"," 2009_1º","104703"
"2","TOTAL NACIONAL"," 2009_2º","119938"
"3","TOTAL NACIONAL"," 2009_3º","107534"
"4","TOTAL NACIONAL"," 2009_4º","131544"
"5","TOTAL NACIONAL"," 2010_1º","107079"
"6","TOTAL NACIONAL"," 2010_2º","153164"
"7","TOTAL NACIONAL"," 2010_3º","80550"
"8","TOTAL NACIONAL"," 2010_4º","150494"
"9","TOTAL NACIONAL"," 2011_1º","74455"
"10","TOTAL NACIONAL"," 2011_2º","90756"
"11","TOTAL NACIONAL"," 2011_3º","76534"
"12","TOTAL NACIONAL"," 2011_4º","107373"
"13","TOTAL NACIONAL"," 2012_1º","69420"
"14","TOTAL NACIONAL"," 2012_2º","84289"
"15","TOTAL NACIONAL"," 2012_3º","75313"
"16","TOTAL NACIONAL"," 2012_4º","134601"
"17","TOTAL NACIONAL"," 2013_1º","54835"
"18","TOTAL NACIONAL"," 2013_2º","81472"
"19","TOTAL NACIONAL"," 2013_3º","70604"
"20","TOTAL NACIONAL"," 2013_4º","93657"
"21","TOTAL NACIONAL"," 2014_1º","81516"
"22","TOTAL NACIONAL"," 2014_2º","91769"
"23","TOTAL NACIONAL"," 2014_3º","80388"
"24","TOTAL NACIONAL"," 2014_4º","111948"
"25","TOTAL NACIONAL"," 2015_1º","85605"
"26","TOTAL NACIONAL"," 2015_2º","107043"
"27","TOTAL NACIONAL"," 2015_3º","94035"
"28","TOTAL NACIONAL"," 2015_4º","115030"
"29","TOTAL NACIONAL"," 2016_1º","103592"
"30","TOTAL NACIONAL"," 2016_2º","123438"
"31","TOTAL NACIONAL"," 2016_3º","104143"
"32","TOTAL NACIONAL"," 2016_4º","126565"
"33","TOTAL NACIONAL"," 2017_1º","124756"
"34","TOTAL NACIONAL"," 2017_2º","143761"
"35","TOTAL NACIONAL"," 2017_3º","119162"
"36","TOTAL NACIONAL"," 2017_4º","144582"
"37","TOTAL NACIONAL"," 2018_1º","135438"
"38","TOTAL NACIONAL"," 2018_2º","161374"
"39","TOTAL NACIONAL"," 2018_3º","131800"
"40","TOTAL NACIONAL"," 2018_4º","154276"
"41","TOTAL NACIONAL"," 2019_1º","138374"
"42","TOTAL NACIONAL"," 2019_2º","149600"
